iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
MGS313.A0101	MGS317.A0101	19.87560093402862	43.5557037591934	3.0	32.65290558338164	2.0	19.87560093402862	1.0	0.0	0.0
MGS129.A0101	MGS292.A0101	23.21150302886963	43.551790714263895	3.0	23.21150302886963	1.0	23.21150302886963	1.0	23.21150302886963	1.0
RKF046.A0101	RKF199.A0101	28.51649522781372	43.49139928817749	2.0	43.49139928817749	2.0	28.51649522781372	1.0	28.51649522781372	1.0
LEO112.A0101	LEO103.A0101	19.71630156040191	43.478201329708085	3.0	33.359201252460466	2.0	19.71630156040191	1.0	0.0	0.0
CSK013.A0101	MGS190.A0101	24.67829883098602	43.47060620784758	3.0	24.67829883098602	1.0	24.67829883098602	1.0	24.67829883098602	1.0
LEO074.A0101	LEO104.A0101	27.19859480857849	43.45939755439758	2.0	43.45939755439758	2.0	43.45939755439758	2.0	27.19859480857849	1.0
MGS421.A0101	MGS189.A0101	33.17109942436218	43.449097871780396	2.0	33.17109942436218	1.0	33.17109942436218	1.0	33.17109942436218	1.0
RKO008.A0101	MGS008.A0101	23.13799858093261	43.3390974998474	2.0	43.3390974998474	2.0	43.3390974998474	2.0	43.3390974998474	2.0
LEO124.A0101	LEO023.A0101	28.77140045166015	43.32780241966247	2.0	43.32780241966247	2.0	28.77140045166015	1.0	28.77140045166015	1.0
LEO100.A0101	LEO107.A0101	32.25799798965454	43.31679940223693	2.0	32.25799798965454	1.0	32.25799798965454	1.0	32.25799798965454	1.0
LEO075.A0101	LEO104.A0101	27.00850367546081	43.26921105384826	2.0	43.26921105384826	2.0	43.26921105384826	2.0	27.00850367546081	1.0
RKC047.A0101	RKF031.A0101	31.26319646835327	43.253496289253235	2.0	31.26319646835327	1.0	31.26319646835327	1.0	31.26319646835327	1.0
RKC035.A0101	RKF007.A0101	22.33520150184631	43.175798654556274	2.0	43.175798654556274	2.0	43.175798654556274	2.0	43.175798654556274	2.0
MGS245.A0101	MGS197.A0101	32.16560184955597	43.16340982913971	2.0	32.16560184955597	1.0	32.16560184955597	1.0	32.16560184955597	1.0
KFJ038.A0101	XXX001.A1816	17.94450283050537	43.12620162963866	3.0	34.59889888763427	2.0	34.59889888763427	2.0	0.0	0.0
MGS206.A0101	MGS453.A0101	30.55889867246151	43.06069873273372	2.0	43.06069873273372	2.0	30.55889867246151	1.0	30.55889867246151	1.0
LEO139.A0101	LEO135.A0101	12.76279971934855	43.0564968381077	4.0	25.049602845683687	2.0	0.0	0.0	0.0	0.0
LEO088.A0101	LEO111.A0101	31.98530673980713	43.05280447006225	2.0	31.98530673980713	1.0	31.98530673980713	1.0	31.98530673980713	1.0
MGS313.A0101	MGS190.A0101	30.963003635406487	43.030607700347886	2.0	43.030607700347886	2.0	30.963003635406487	1.0	30.963003635406487	1.0
RKF175.A0101	RKF034.A0101	28.634297847747803	43.006193637847886	2.0	43.006193637847886	2.0	28.634297847747803	1.0	28.634297847747803	1.0
